2026-05-15 17:26:45, Temp: 23.8°C, Hum: 53.5%
2026-05-15 17:27:05, Temp: 23.8°C, Hum: 53.5%
2026-05-15 17:27:25, Temp: 23.8°C, Hum: 53.6%
2026-05-15 17:27:45, Temp: 23.8°C, Hum: 53.6%
2026-05-15 17:28:05, Temp: 23.7°C, Hum: 53.7%
2026-05-15 17:28:25, Temp: 23.7°C, Hum: 53.8%
2026-05-15 17:28:45, Temp: 23.7°C, Hum: 53.9%
2026-05-15 17:29:05, Temp: 23.7°C, Hum: 53.8%
2026-05-15 17:29:25, Temp: 23.7°C, Hum: 53.9%
2026-05-15 17:29:45, Temp: 23.8°C, Hum: 53.9%
2026-05-15 17:30:05, Temp: 23.8°C, Hum: 53.9%
2026-05-15 17:30:25, Temp: 23.7°C, Hum: 53.8%
2026-05-15 17:30:45, Temp: 23.7°C, Hum: 53.8%
2026-05-15 17:31:05, Temp: 23.7°C, Hum: 53.7%
2026-05-15 17:31:25, Temp: 23.7°C, Hum: 53.7%
2026-05-15 17:31:45, Temp: 23.7°C, Hum: 53.8%
2026-05-15 17:32:05, Temp: 23.7°C, Hum: 53.9%
2026-05-15 17:32:25, Temp: 23.8°C, Hum: 53.8%
2026-05-15 17:32:45, Temp: 23.8°C, Hum: 53.8%
2026-05-15 17:33:05, Temp: 23.7°C, Hum: 53.7%
2026-05-15 17:33:25, Temp: 23.8°C, Hum: 53.6%
2026-05-15 17:33:45, Temp: 23.8°C, Hum: 53.6%
2026-05-15 17:34:05, Temp: 23.8°C, Hum: 53.6%
2026-05-15 17:34:25, Temp: 23.8°C, Hum: 53.6%
2026-05-15 17:34:45, Temp: 23.8°C, Hum: 53.6%
2026-05-15 17:35:05, Temp: 23.8°C, Hum: 53.6%
2026-05-15 17:35:25, Temp: 23.8°C, Hum: 53.5%
2026-05-15 17:35:45, Temp: 23.7°C, Hum: 53.5%
2026-05-15 17:36:05, Temp: 23.8°C, Hum: 53.6%
2026-05-15 17:36:25, Temp: 23.8°C, Hum: 53.6%
2026-05-15 17:36:45, Temp: 23.8°C, Hum: 53.6%
2026-05-15 17:37:05, Temp: 23.8°C, Hum: 53.4%
2026-05-15 17:37:25, Temp: 23.8°C, Hum: 53.6%
2026-05-15 18:35:05, Temp: 23.7°C, Hum: 52.6%
2026-05-15 18:35:25, Temp: 23.6°C, Hum: 52.8%
2026-05-15 18:35:45, Temp: 23.6°C, Hum: 52.7%
2026-05-15 18:36:05, Temp: 23.7°C, Hum: 52.6%
2026-05-15 18:36:25, Temp: 23.7°C, Hum: 52.7%
2026-05-15 18:36:45, Temp: 23.7°C, Hum: 52.6%
2026-05-15 18:37:05, Temp: 23.7°C, Hum: 52.6%
2026-05-15 18:37:25, Temp: 23.7°C, Hum: 52.6%
2026-05-15 18:37:45, Temp: 23.6°C, Hum: 52.6%
2026-05-15 18:38:05, Temp: 23.6°C, Hum: 52.6%
2026-05-15 18:38:25, Temp: 23.6°C, Hum: 52.7%
2026-05-15 18:38:46, Temp: 23.7°C, Hum: 52.7%
2026-05-15 18:39:05, Temp: 23.7°C, Hum: 52.7%
2026-05-15 18:39:25, Temp: 23.6°C, Hum: 52.6%
2026-05-15 18:39:46, Temp: 23.6°C, Hum: 52.7%
2026-05-15 18:40:05, Temp: 23.7°C, Hum: 52.6%
2026-05-15 18:40:26, Temp: 23.7°C, Hum: 52.6%
2026-05-15 18:40:46, Temp: 23.7°C, Hum: 52.8%
2026-05-15 18:41:05, Temp: 23.7°C, Hum: 52.7%
2026-05-15 18:41:26, Temp: 23.7°C, Hum: 52.6%
2026-05-15 18:41:46, Temp: 23.7°C, Hum: 52.6%
2026-05-15 18:42:05, Temp: 23.7°C, Hum: 52.5%
2026-05-15 18:42:26, Temp: 23.7°C, Hum: 52.4%
2026-05-15 18:42:46, Temp: 23.7°C, Hum: 52.4%
2026-05-15 18:43:06, Temp: 23.7°C, Hum: 52.4%
2026-05-15 18:43:26, Temp: 23.7°C, Hum: 52.4%
2026-05-15 18:43:46, Temp: 23.7°C, Hum: 52.5%
2026-05-15 18:44:06, Temp: 23.6°C, Hum: 52.5%
2026-05-15 18:44:26, Temp: 23.7°C, Hum: 52.5%
2026-05-15 18:44:46, Temp: 23.7°C, Hum: 52.5%
2026-05-15 18:45:06, Temp: 23.7°C, Hum: 52.5%
2026-05-15 18:45:26, Temp: 23.6°C, Hum: 52.5%
2026-05-15 18:45:46, Temp: 23.6°C, Hum: 52.5%
2026-05-15 18:46:06, Temp: 23.6°C, Hum: 52.5%
2026-05-15 18:46:26, Temp: 23.6°C, Hum: 52.5%
